Order,Family,Binomial.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source,famPropFrug,famPropOblgFrug,orderPropFrug,orderPropOblgFrug,Liberal,Default,Conservative,Reason
CARNIVORA,FELIDAE,Panthera_atrox,0,100,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0.028,0,0.373,0.269,N,N,N,
CARNIVORA,FELIDAE,Panthera_spelaea,0,100,0,Reported Isotopes Species,"Bocherens, H., et al. 2011. Isotopic evidence for dietary ecology of cave lion (Panthera spelaea) in North-Western Europe: prey choice, competition and implications for extinction. Quaternary International 245:249-261.",0.028,0,0.373,0.269,N,N,N,
CARNIVORA,FELIDAE,Smilodon_fatalis,0,100,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0.028,0,0.373,0.269,N,N,N,
CARNIVORA,FELIDAE,Smilodon_populator,0,100,0,Estimated Craniodental Species,"Wroe, S., et al. 2008. How to build a mammalian super-predator. Zoology 111:196-203.",0.028,0,0.373,0.269,N,N,N,
CARNIVORA,MEPHITIDAE,Brachyprotoma_obtusata,37,29,34,Imputed 000 Species,PHYLACINE 1.2,0.5,0.25,0.373,0.269,N,N,N,
CARNIVORA,URSIDAE,Arctodus_simus,0,100,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0.75,0.375,0.373,0.269,N,N,N,Appears to be a hyper-carnivore
CARNIVORA,URSIDAE,Arctotherium_tarijense,80,10,10,Estimated Craniodental Species,"Figueirido, B., et al. 2009. Inferring palaeoecology in extinct tremarctine bears (Carnivora, Ursidae) using geometric morphometrics. Lethaia 43:209-333.",0.75,0.375,0.373,0.269,Y,Y,Y,
CARNIVORA,URSIDAE,Arctotherium_wingei,90,5,5,Estimated Craniodental Species,"Figueirido, B., et al. 2009. Inferring palaeoecology in extinct tremarctine bears (Carnivora, Ursidae) using geometric morphometrics. Lethaia 43:209-333.",0.75,0.375,0.373,0.269,Y,Y,Y,
CARNIVORA,URSIDAE,Tremarctos_floridanus,96,3,1,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0.75,0.375,0.373,0.269,Y,Y,Y,
CARNIVORA,URSIDAE,Ursus_spelaeus,100,0,0,Estimated Isotopes Species,"Krajcarz, M., et al. 2016. Isotopic variability of cave bears (δ15N, δ13C) across Europe during MIS 3. Quaternary Science Reviews 131:51-72.",0.75,0.375,0.373,0.269,Y,Y,Y,
CETARTIODACTYLA,ANTILOCAPRIDAE,Capromeryx_minor,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0,0,0.332,0.266,Y,N,N,
CETARTIODACTYLA,ANTILOCAPRIDAE,Stockoceros_conklingi,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0,0,0.332,0.266,Y,N,N,
CETARTIODACTYLA,ANTILOCAPRIDAE,Tetrameryx_shuleri,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0,0,0.332,0.266,Y,N,N,
CETARTIODACTYLA,BOVIDAE,Antidorcas_australis,100,0,0,Estimated Expert Species,"Faith, J. T. 2014. Late Pleistocene and Holocene mammal extinctions on continental Africa. Earth Science Reviews 128:105-121.",0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Antidorcas_bondi,100,0,0,Estimated Expert Species,"Faith, J. T. 2014. Late Pleistocene and Holocene mammal extinctions on continental Africa. Earth Science Reviews 128:105-121.",0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Bootherium_bombifrons,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Bubalus_grovesi,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Bubalus_palaeokerabau,100,0,0,Estimated Expert Species,"Janssen, R., et al. 2016. Tooth enamel stable isotopes of Holocene and Pleistocene fossil fauna reveal glacial and interglacial paleoenvironments of hominins in Indonesia. Quaternary Science Reviews 144:145-154.",0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,CapriniGen_spA,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Damaliscus_hypsodon,100,0,0,Estimated Expert Species,"Faith, J. T., et al. 2012. New perspectives on middle Pleistocene change in the large mammal faunas of East Africa: Damaliscus hypsodon sp. nov. (Mammalia, Artiodactyla) from Lainyamok, Kenya. Palaeogeography, Palaeoclimatology, Palaeoecology 361-362:84-93.",0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Damaliscus_niro,100,0,0,Estimated Craniodental Species,"Stynder, D. D. 2008. The diets of ungulates from the hominid fossil-bearing site of Elandsfontein, Western Cape, South Africa.",0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Euceratherium_collinum,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Gazella_atlantica,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Gazella_tingitana,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Hemitragus_cedrensis,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Megalotragus_priscus,100,0,0,Estimated Expert Species,"Faith, J. T. 2014. Late Pleistocene and Holocene mammal extinctions on continental Africa. Earth Science Reviews 128:105-121.",0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Megalovis_guangxiensis,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Myotragus_balearicus,99,0,1,Imputed 000 Species,PHYLACINE 1.2,0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Oreamnos_harringtoni,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Pelorovis_antiquus,100,0,0,Estimated Craniodental Species,"Stynder, D. D. 2008. The diets of ungulates from the hominid fossil-bearing site of Elandsfontein, Western Cape, South Africa.",0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Rusingoryx_atopocranion,100,0,0,Estimated Craniodental Species,"Faith, J. T., et al. 2011. Taxonomic status and paleoecology of Rusingoryx atopocranion (Mammalia, Artiodactyla), an extinct Pleistocene bovid from Rusinga Island, Kenya. Quaternary Research 75:697-707.",0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Sivacobus_sankaliai,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Soergelia_minor,100,0,0,Estimated Expert Species,"Palmqvist, P., et al. 2003. Paleoecological reconstruction of a lower Pleistocene large mammal community using biogeochemical (δ13C, δ15N, δ18O, Sr:Zn) and ecomorphological approaches. Paleobiology 29:205-229.",0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,BOVIDAE,Spirocerus_kiakhtensis,100,0,0,Estimated Expert Species,"Stuart, A. J. 1991. Mammalian extinctions in the Late Pleistocene of northern Eurasia and North America. Biological Reviews 66:453-562.",0.25,0.179,0.332,0.266,Y,N,N,Probably predominantly grazers
CETARTIODACTYLA,CAMELIDAE,Camelops_hesternus,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0,0,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CAMELIDAE,Camelus_dromedarius,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,0,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CAMELIDAE,Hemiauchenia_macrocephala,100,0,0,Estimated Expert Genus,"Feranec, R. S. 2003. Stable isotopes, hypsodonty, and the paleodiet of Hemiauchenia (Mammalia: Camelidae): a morphological specialization creating ecological generalization. Paleobiology 29:230-242.",0,0,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CAMELIDAE,Hemiauchenia_paradoxa,100,0,0,Estimated Expert Genus,"Feranec, R. S. 2003. Stable isotopes, hypsodonty, and the paleodiet of Hemiauchenia (Mammalia: Camelidae): a morphological specialization creating ecological generalization. Paleobiology 29:230-242.",0,0,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CAMELIDAE,Palaeolama_major,100,0,0,Reported Observed Species,"Marcolino, C. P., et al. 2012. Diet of Palaeolama major (Camelidae) of Bahia, Brazil, inferred from coprolites. Quaternary International 278:81-86.",0,0,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CAMELIDAE,Palaeolama_mirifica,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0,0,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CAMELIDAE,Palaeolama_weddeli,100,0,0,Estimated Craniodental Species,"MacFadden, B. J., et al. 1997. Ancient feeding ecology and niche differentiation of Pleistocene mammalian herbivores from Tarija, Bolivia: Morphological and isotopic evidence. Paleobiology 23:77-100.",0,0,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Agalmaceros_blicki,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Antifer_ultra,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Candiacervus_cretensis,100,0,0,Estimated Expert Genus,"van der Geer, A., J. et al. 2006. New data on the Pleistocene Cretan deer Candiacervus sp. II (Cervinae, Mammalia). Courier Forschungsinstitut Senckenberg 256:131-137.",0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Candiacervus_dorothensis,100,0,0,Estimated Expert Genus,"van der Geer, A., J. et al. 2006. New data on the Pleistocene Cretan deer Candiacervus sp. II (Cervinae, Mammalia). Courier Forschungsinstitut Senckenberg 256:131-137.",0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Candiacervus_major,100,0,0,Estimated Expert Genus,"van der Geer, A., J. et al. 2006. New data on the Pleistocene Cretan deer Candiacervus sp. II (Cervinae, Mammalia). Courier Forschungsinstitut Senckenberg 256:131-137.",0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Candiacervus_rethymnensis,100,0,0,Estimated Expert Genus,"van der Geer, A., J. et al. 2006. New data on the Pleistocene Cretan deer Candiacervus sp. II (Cervinae, Mammalia). Courier Forschungsinstitut Senckenberg 256:131-137.",0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Candiacervus_ropalophorus,100,0,0,Estimated Expert Genus,"van der Geer, A., J. et al. 2006. New data on the Pleistocene Cretan deer Candiacervus sp. II (Cervinae, Mammalia). Courier Forschungsinstitut Senckenberg 256:131-137.",0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Candiacervus_spII,100,0,0,Estimated Expert Genus,"van der Geer, A., J. et al. 2006. New data on the Pleistocene Cretan deer Candiacervus sp. II (Cervinae, Mammalia). Courier Forschungsinstitut Senckenberg 256:131-137.",0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Capreolus_miyakoensis,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Cervalces_scotti,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Cervus_astylodon,99,0,1,Imputed 000 Species,PHYLACINE 1.2,0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Dicroceros_spA,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Haploidoceros_mediterraneus,100,0,0,Estimated Craniodental Species,"Rivals, F., et al. 2016. First reconstruction of the dietary traits of the Mediterranean deer (Haploidoceros mediterraneus) from the Cova del Rinoceront (NE Iberian Peninsula). Palaeogeography, Palaeoclimatology, Palaeoecology 449:101-107.",0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Megaceroides_algericus,100,0,0,Estimated Expert Species,"Abbazzi, L. 2004. Remarks on the validity of the generic name Praemegaceros Portis 1920, and an overview on Praemegaceros species in Italy. Rendiconti Lincei 15:115-132.",0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Megaloceros_giganteus,100,0,0,Estimated Expert Species,"Chritz, K. L., et al. 2009. Palaeobiology of an extinct Ice Age mammal: stable isotope and cementum analysis of giant deer teeth. Palaeogeography, Palaeoclimatology, Palaeoecology 282:133-144.",0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Morenelaphus_brachyceros,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Morenelaphus_lujanensis,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Navahoceros_fricki,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Paraceros_fragilis,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Praemegaceros_cazioti,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Sangamona_fugitiva,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Sinomegaceros_ordosianus,100,0,0,Estimated Expert Species,"van der Made, J., et al. 2008. Phylogeny of the giant deer with palmate brow tines Megaloceros from west and Sinomegaceros from east Eurasia 179:135-162.",0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,CERVIDAE,Sinomegaceros_yabei,99,1,0,Imputed 000 Species,PHYLACINE 1.2,0.273,0.182,0.332,0.266,Y,N,N,
CETARTIODACTYLA,HIPPOPOTAMIDAE,Hexaprotodon_sivalensis,100,0,0,Estimated Expert Species,"Patnaik, R. 2015. Diet and habitat changes among Siwalik herbivorous mammals in response to Neogene and Quaternary climate changes: An appraisal in the light of new data.",0.25,0.25,0.332,0.266,Y,N,N,
CETARTIODACTYLA,HIPPOPOTAMIDAE,Phanourios_minutes,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.25,0.25,0.332,0.266,Y,N,N,
CETARTIODACTYLA,SUIDAE,Kolpochoerus_majus,80,20,0,Estimated Craniodental Species,"Souron, A., et al. 2015. A new species of Kolpochoerus from Ethiopia. Acta Palaeontologica Polonica 60:79-96.",0.889,0.889,0.332,0.266,Y,Y,Y,
CETARTIODACTYLA,SUIDAE,Metridiochoerus_compactus,89,11,0,Imputed 000 Species,PHYLACINE 1.2,0.889,0.889,0.332,0.266,Y,Y,Y,
CETARTIODACTYLA,SUIDAE,Sus_brachgnathus,71,19,10,Imputed 000 Species,PHYLACINE 1.2,0.889,0.889,0.332,0.266,Y,Y,Y,
CETARTIODACTYLA,TAYASSUIDAE,Catagonus_stenocephalus,99,0,1,Imputed 000 Species,PHYLACINE 1.2,0.75,0.75,0.332,0.266,Y,Y,Y,
CETARTIODACTYLA,TAYASSUIDAE,Muknalia_minima,98,0,2,Imputed 000 Species,PHYLACINE 1.2,0.75,0.75,0.332,0.266,Y,Y,Y,
CETARTIODACTYLA,TAYASSUIDAE,Mylohyus_nasutus,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0.75,0.75,0.332,0.266,Y,Y,Y,
CETARTIODACTYLA,TAYASSUIDAE,Platygonus_compressus,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0.75,0.75,0.332,0.266,Y,Y,Y,
CHIROPTERA,MORMOOPIDAE,Mormoops_magna,3,2,95,Imputed 000 Species,PHYLACINE 1.2,0,0,0.271,0.255,N,N,N,
CHIROPTERA,PHYLLOSTOMIDAE,Artibeus_anthonyi,89,0,11,Imputed 000 Species,PHYLACINE 1.2,0.776,0.69,0.271,0.255,Y,Y,Y,
CHIROPTERA,PHYLLOSTOMIDAE,Desmodus_draculae,0,100,0,Transformed 000 Species,"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.",0.776,0.69,0.271,0.255,N,N,N,
CHIROPTERA,PHYLLOSTOMIDAE,Desmodus_puntajudensis,2,95,3,Imputed 000 Species,PHYLACINE 1.2,0.776,0.69,0.271,0.255,N,N,N,
CHIROPTERA,PHYLLOSTOMIDAE,Desmodus_stocki,2,96,2,Imputed 000 Species,PHYLACINE 1.2,0.776,0.69,0.271,0.255,N,N,N,
CHIROPTERA,PHYLLOSTOMIDAE,Phyllonycteris_major,72,1,27,Imputed 000 Species,PHYLACINE 1.2,0.776,0.69,0.271,0.255,Y,Y,Y,
CHIROPTERA,PHYLLOSTOMIDAE,Phyllops_silvai,99,0,1,Imputed 000 Species,PHYLACINE 1.2,0.776,0.69,0.271,0.255,Y,Y,Y,
CHIROPTERA,PTEROPODIDAE,Pteropus_allenorum,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.936,0.92,0.271,0.255,Y,Y,Y,
CHIROPTERA,PTEROPODIDAE,Pteropus_coxi,100,0,0,Imputed 000 Species,PHYLACINE 1.2,0.936,0.92,0.271,0.255,Y,Y,Y,
CINGULATA,Dasypodidae,Dasypus_bellus,10,20,70,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,0.095,0.095,N,N,N,
CINGULATA,Chlamyphoridae,Doedicurus_clavicaudatus,100,0,0,Estimated Craniodental Species,"Vizcaíno, S. F., et al. 2011. Evaluating habitats and feeding habits through ecomorphological features in glyptodonts (Mammalia, xenarthra). Ameghiniana 48:305-319.",NA,NA,0.095,0.095,Y,N,N,
CINGULATA,Dasypodidae,Eutatus_seguini,100,0,0,Estimated Craniodental Species,"Vizcaino, S. F., et al. 1998. The masticatory apparatus of the armadillo Eutatus (Mammalia, Cingulata) and some allied genera: paleobiology and evolution. Bargo Source: Paleobiology Paleobiology 24:371-383.",NA,NA,0.095,0.095,Y,Y,N,See Domingo et al 2012
CINGULATA,Chlamyphoridae,Glyptodon_clavipes,100,0,0,Estimated Craniodental Genus,"Fariña, R. A., et al. 2001. Carved teeth and strange jaws: How glyptodonts masticated. Acta Palaeontologica Polonica 46:219-234.",NA,NA,0.095,0.095,Y,Y,N,See Domingo et al 2012
CINGULATA,Chlamyphoridae,Glyptodon_reticulatus,100,0,0,Estimated Craniodental Genus,"Fariña, R. A., et al. 2001. Carved teeth and strange jaws: How glyptodonts masticated. Acta Palaeontologica Polonica 46:219-234.",NA,NA,0.095,0.095,Y,Y,N,See Domingo et al 2012
CINGULATA,Chlamyphoridae,Glyptotherium_cylindricum,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,0.095,0.095,Y,N,N,
CINGULATA,Chlamyphoridae,Glyptotherium_floridanum,100,0,0,Estimated Expert Genus,"McDonald, H. G. 2005. Paleoecology of extinct xenarthrans and the Great American Biotic Interchange. Bulletin of the Florida Museum of Natural History 45:313-333.",NA,NA,0.095,0.095,Y,N,N,
CINGULATA,Pampatheriidae,Holmesina_occidentalis,100,0,0,Estimated Craniodental Species,"De Iuliis, G., M. S. Bargo, and S. F. Vizcaíno. 2000b. Variation in skull morphology and mastication in the fossil giant armadillos Pampatherium spp. and allied genera (Mammalia: Xenarthra: Pampatheriidae), with comments on their systematics and distribution. Journal of Vertebrate Paleontology 20:743-754.",NA,NA,0.095,0.095,Y,N,N,
CINGULATA,Pampatheriidae,Holmesina_paulacoutoi,100,0,0,Estimated Craniodental Species,"De Iuliis, G., M. S. Bargo, and S. F. Vizcaíno. 2000b. Variation in skull morphology and mastication in the fossil giant armadillos Pampatherium spp. and allied genera (Mammalia: Xenarthra: Pampatheriidae), with comments on their systematics and distribution. Journal of Vertebrate Paleontology 20:743-754.",NA,NA,0.095,0.095,Y,N,N,
CINGULATA,Pampatheriidae,Holmesina_septentrionalis,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,0.095,0.095,Y,N,N,
CINGULATA,Chlamyphoridae,Hoplophorus_euphractus,70,5,25,Estimated Craniodental Species,"Saarinen, J., et al. 2017. Tooth wear and diets of extant and fossil xenarthrans (Mammalia, Xenarthra) - Applying a new mesowear approach. Palaeogeography, Palaeoclimatology, Palaeoecology 476:42-54.",NA,NA,0.095,0.095,Y,N,N,
CINGULATA,Chlamyphoridae,Neosclerocalyptus_paskoenis,100,0,0,Estimated Craniodental Species,"Vizcaíno, S. F., et al. 2011. Evaluating habitats and feeding habits through ecomorphological features in glyptodonts (Mammalia, xenarthra). Ameghiniana 48:305-319.",NA,NA,0.095,0.095,Y,Y,N,See Franca
CINGULATA,Chlamyphoridae,Neuryurus_trabeculatus,100,0,0,Estimated Craniodental Species,"Vizcaíno, S. F., et al. 2011. Evaluating habitats and feeding habits through ecomorphological features in glyptodonts (Mammalia, xenarthra). Ameghiniana 48:305-319.",NA,NA,0.095,0.095,Y,N,N,
CINGULATA,Incertae sedis,Pachyarmatherium_brasiliense,0,0,100,Estimated Expert Genus,"Downing, K. F., et al. 1995. The cingulates (Xenarthra) of the Leisey Shell Pit local fauna (Irvingtonian), Hillsborough County, Florida. Bulletin of the Florida Museum of Natural History 37:375-396.",NA,NA,0.095,0.095,N,N,N,
CINGULATA,Pampatheriidae,Pampatherium_humboldti,100,0,0,Estimated Craniodental Species,"De Iuliis, G., et al. 2000. Variation in skull morphology and mastication in the fossil giant armadillos Pampatherium spp. and allied genera (Mammalia: Xenarthra: Pampatheriidae), with comments on their systematics and distribution. Journal of Vertebrate Paleontology 20:743-754.",NA,NA,0.095,0.095,Y,N,N,
CINGULATA,Pampatheriidae,Pampatherium_typum,100,0,0,Estimated Craniodental Species,"De Iuliis, G., et al. 2000. Variation in skull morphology and mastication in the fossil giant armadillos Pampatherium spp. and allied genera (Mammalia: Xenarthra: Pampatheriidae), with comments on their systematics and distribution. Journal of Vertebrate Paleontology 20:743-754.",NA,NA,0.095,0.095,Y,N,N,
CINGULATA,Chlamyphoridae,Panochthus_tuberculatus,100,0,0,Estimated Craniodental Species,"Vizcaíno, S. F., et al. 2011. Evaluating habitats and feeding habits through ecomorphological features in glyptodonts (Mammalia, xenarthra). Ameghiniana 48:305-319.",NA,NA,0.095,0.095,Y,N,N,
