SpecName	accGenus	accSpecies	PalmTribe	PalmSubfamily	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	FruitColorDescription	MainFruitColors	Conspicuousness
Ammandra decasperma	Ammandra	decasperma	Phytelepheae	Ceroxyloideae	0	1	0	1	0	0	1.5	15	understorey	10	4.5	4	3.25	10			10	8	12	large	globose	dark brown	brown	cryptic
Aphandra natalia	Aphandra	natalia	Phytelepheae	Ceroxyloideae	0	0	1	1	0	0	11	30	canopy	36	6	5.4	1.6	4.75		3.2	3.2			large	rounded	brown	brown	cryptic
Archontophoenix alexandrae	Archontophoenix	alexandrae	Areceae	Arecoideae	0	0	1	1	0	0	30	30	canopy	12	4.5	4	0.55	1.1	0.8	1.4	0.85	0.6	1.1	small	ovoid	bright red	red	conspicuous
Archontophoenix cunninghamiana	Archontophoenix	cunninghamiana	Areceae	Arecoideae	0	0	1	1	0	0	30	30	canopy	12	4.5	4	0.55	1.25	1	1.5	1.1		1.5	small	ovoid	bright red	red	conspicuous
Archontophoenix maxima	Archontophoenix	maxima	Areceae	Arecoideae	0	0	1	1	0	0	22	30	canopy	11	5	3.4	1.7	1.25	1.1	1.4	0.9	0.7	1.1	small	globose	red	red	conspicuous
Archontophoenix myolensis	Archontophoenix	myolensis	Areceae	Arecoideae	0	0	1	1	0	0	20	30	canopy	12	4	3.8	0.22	1.7	1.3	2.1	1.1	1	1.2	small	globose	red	red	conspicuous
Archontophoenix purpurea	Archontophoenix	purpurea	Areceae	Arecoideae	0	0	1	1	0	0	25	45	canopy	15	6	4	2.1	2.3	2	2.6	2	1.8	2.2	small	globose	"red-crimson; dark red"	red	conspicuous
Archontophoenix tuckeri	Archontophoenix	tuckeri	Areceae	Arecoideae	0	0	1	1	0	0	20	26	canopy	12	3.15	1.75	1.45	2	1.5	2.5	1.25	1	1.5	small	ovoid	bright red to dark brick red at maturity (drying dark ocre)	red	conspicuous
Areca abdulrahmanii	Areca	abdulrahmanii	Areceae	Arecoideae	0	1	0	1	0	0	2.5	1.3	understorey		1			4			1.2			large				
Areca ahmadii	Areca	ahmadii	Areceae	Arecoideae	0	1	0	1	0	0	0.08	2.5	understorey		1	0.58	0.47	4.3			2			large	globose	black	black	cryptic
Areca andersonii	Areca	andersonii	Areceae	Arecoideae	0	1	0	1	0	0	2.5	1.3	understorey		0.8	0.8		2.1			0.7			small	ovoid	deep green	green	cryptic
Areca arundinacea	Areca	arundinacea	Areceae	Arecoideae	0	1	0	0	0	0	2.5	0.8	understorey	8	0.5			1.9			1.1			small	elongate	bright red	red	conspicuous
Areca bakeri	Areca	bakeri	Areceae	Arecoideae	0	0	1		0	0								6.26	6	6.5	1.4	1.3	1.45	large		young fruit dark green		
Areca brachypoda	Areca	brachypoda	Areceae	Arecoideae	0	1	0	1	0	0	0.06	0.3	understorey		1.15		0.45	2.2			0.5			small	globose			
Areca caliso	Areca	caliso	Areceae	Arecoideae	0	0	1	1	0	0	6	12	canopy	6	2.15			3			1.6			small	globose	Bright orange	orange	conspicuous
Areca camarinensis	Areca	camarinensis	Areceae	Arecoideae	0	0	1	1	0	0	3	9	understorey		1.5			5	3.5	5.5	1.7	1.5	2.5	large	globose	green to orange to red	"green; orange; red"	conspicuous
Areca catechu	Areca	catechu	Areceae	Arecoideae	0	0	1	1	0	0	25	30	canopy	10	3.15	2.05	1.25	6.5	5	8	4.75	3.5	6	large	ovoid	"ripening yellow; orange; red; to scarlet"	"yellow; orange; red"	conspicuous
Areca chaiana	Areca	chaiana	Areceae	Arecoideae	0	0	1	1	0	0	3	8	understorey		1.15		0.7	3			0.8			small	elongate	red to black	"red; black"	conspicuous
Areca churchii	Areca	churchii	Areceae	Arecoideae	0	0	1		0	0																dull green	green	cryptic
Areca concinna	Areca	concinna	Areceae	Arecoideae	0	0	1	0	0	0	5	6	understorey	8	2	1.5	0.18	3			1.2			small	ovoid	"red; scarlet; from green to orange to red"	"red; green; orange; red"	conspicuous
Areca congesta	Areca	congesta	Areceae	Arecoideae	0	0	1		0	0																		
Areca costulata	Areca	costulata	Areceae	Arecoideae	0	0	1	1	0	0	5		understorey												globose			
Areca dayung	Areca	dayung	Areceae	Arecoideae	0	0	1	0	0	0		1													globose			
Areca dransfieldii	Areca	dransfieldii	Areceae	Arecoideae	0	0	1		0	0								3.8			1			small		dark green in immature fruit		
Areca furcata	Areca	furcata	Areceae	Arecoideae	0	0	1	0	0	0	2	2	understorey					1			0.4			small	ovoid	"pale yellow to red; bright red"	"yellow; red"	conspicuous
Areca gurita	Areca	gurita	Areceae	Arecoideae	0	0	1		0	0								2			1			small		white with green in immature fruit		
Areca hutchinsoniana	Areca	hutchinsoniana	Areceae	Arecoideae	0	0	1	1	0	0	3	3	understorey		2			3			1.7			small	globose	white to yellow to red	"white; yellow; red"	conspicuous
Areca insignis	Areca	insignis	Areceae	Arecoideae	0	1	0	1	0	0	3.5	2.5	understorey	10	1.2	1.2	0	2.2			1			small	globose	moroon with green tip	red	conspicuous
Areca ipot	Areca	ipot	Areceae	Arecoideae	0	0	1	1	0	0	4	12.7	understorey		2.4	2.4		5			3			large		red	red	conspicuous
Areca jugahpunya	Areca	jugahpunya	Areceae	Arecoideae	0	1	0	2	0	0	1.5	15	understorey		2.5	1.5		5.5			1			large		immature dark green		
Areca kinabaluensis	Areca	kinabaluensis	Areceae	Arecoideae	0	0	1	1	0	0	5	2.5	understorey	6	1.5		1.85	2			0.8			small	globose	whitish green to reddish	green	cryptic
Areca klingkangensis	Areca	klingkangensis	Areceae	Arecoideae	0	0	1	1	0	0	4	10	understorey		1.5	1.15	0.4	2.6			0.5			small	globose	yellow	yellow	conspicuous
Areca laosensis	Areca	laosensis	Areceae	Arecoideae	0	0	1	2	0	0	6	4	canopy	12	1.26	1.19	0.09	7.5	7	8	5.5	5	6	large	ovoid	"orange; infrequently yellow"	orange	conspicuous
Areca ledermanniana	Areca	ledermanniana	Areceae	Arecoideae	0	0	1		0	0															ovoid			
Areca macrocalyx	Areca	macrocalyx	Areceae	Arecoideae	0	0	1	1	0	0	10	10	canopy	12	4	4		3.75	3.5	4	2.5			small	ovoid	yellow to orange	"yellow; orange"	conspicuous
Areca mandacanii	Areca	mandacanii	Areceae	Arecoideae	0	0	1		0	0								4.49			2.29			large				
Areca minuta	Areca	minuta	Areceae	Arecoideae	0	0	1	2	0	0	2	1.5	understorey		0.3	0.3		1.2			0.4			small	ovoid	orange to cherry red	"orange; red"	conspicuous
Areca mogeana	Areca	mogeana	Areceae	Arecoideae	0	0	1		0	0								1.5			0.3			small		light orange to red and darker red at tip in immature fruits		
Areca montana	Areca	montana	Areceae	Arecoideae	0	0	1	1	0	0	4	8	understorey	8	1.75	1.35	0.45	2.5			1.35	1.2	1.5	small	ovoid	deep red	red	conspicuous
Areca novohibernica	Areca	novohibernica	Areceae	Arecoideae	0	0	1	1	0	0	4		understorey	5	1.5		0.17	3.2			1.35			small		green turning bright red	"green; red"	conspicuous
Areca oxycarpa	Areca	oxycarpa	Areceae	Arecoideae	0	0	1	1	0	0	2	2.5	understorey	8	1.5	1.1	0.45	2.5			1.3			small	globose	bright ochrish yellow	yellow	conspicuous
Areca parens	Areca	parens	Areceae	Arecoideae	0	0	1	1	0	0	25	15	canopy		2.1			6			4			large	ovoid	white to green to reddish-orange	"white; green; orange"	conspicuous
Areca rheophytica	Areca	rheophytica	Areceae	Arecoideae	0	0	1	1	0	0	2	2	understorey	8	0.4	0.31	0.11	2			0.7			small	globose	"Pink; merah jambu; red"	"pink; red"	conspicuous
Areca ridleyana	Areca	ridleyana	Areceae	Arecoideae	0	0	1	2	0	0	2.5		understorey	10	0.3			0.5		0.8	0.4			small		brilliant red	red	conspicuous
Areca riparia	Areca	riparia	Areceae	Arecoideae	0	0	1		0	0								2.4	2	2.8	1.25	1	1.5	small		bright crimson skin and flesh	red	conspicuous
Areca songthanhensis	Areca	songthanhensis	Areceae	Arecoideae	0	0	1	1	0	0	1.5	2	understorey			0.49	0.13	3			1.3			small	ellipsoid	red	red	conspicuous
Areca subacaulis	Areca	subacaulis	Areceae	Arecoideae	0	1	0	1	0	0	1.5	3.5	understorey	6	1			2.5			1.1			small		purple	purple	cryptic
Areca triandra	Areca	triandra	Areceae	Arecoideae	0	0	1	0	0	0	6	7	canopy	7	2	1.8	0.22	2.5			1.5			small		"red; bright orange-red; pinkish-red"	"red; orange"	conspicuous
Areca triginticollina	Areca	triginticollina	Areceae	Arecoideae	0	0	1		0	0																young fruits green		
Areca tunku	Areca	tunku	Areceae	Arecoideae	0	0	1	1	0	0	5	6	understorey	10	2.5	2.5		4.5			3			large	globose	"purple-brown; dull"	"purple; brown"	cryptic
Areca vestiaria	Areca	vestiaria	Areceae	Arecoideae	0	0	1	2	0	0	15	12	canopy		2.22	1.82	0.45	2			1.15			small	globose	"deep orange; orange-red"	"orange; red"	conspicuous
Areca vidaliana	Areca	vidaliana	Areceae	Arecoideae	0	0	1	1	0	0	3	5	understorey	7	1.5	1.2	0.33	1.4			0.5			small		red	red	conspicuous
Areca whitfordii	Areca	whitfordii	Areceae	Arecoideae	0	0	1	1	0	0	10	20	canopy					4.5	4	5	2			large	globose	brownish	brown	cryptic
Arenga australasica	Arenga	australasica	Caryoteae	Coryphoideae	0	0	1	0	0	0	20	30	canopy	18	4	3.5	0.55	1.7	0.8	2.6	1.8	0.8	2.8	small	globose	red	red	conspicuous
Arenga brevipes	Arenga	brevipes	Caryoteae	Coryphoideae	0	0	1	0	0	0	15	35	canopy	10	5	5		2.65	1.3	4	2.05	1.1	3	small	ovoid	light green to dark purplish black	"green; black"	cryptic
Arenga caudata	Arenga	caudata	Caryoteae	Coryphoideae	0	0	1	0	0	0	1.5	2	understorey	10	1	0.6	0.45	1.5			0.8			small	globose	"red; orange red"	"red; orange"	conspicuous
Arenga distincta	Arenga	distincta	Caryoteae	Coryphoideae	0	0	1	0	0	0	5	1.5	understorey	9				1			0.92			small	globose	green to brown	"green; brown"	cryptic
Arenga engleri	Arenga	engleri	Caryoteae	Coryphoideae	0	0	1	0	0	0	4	15	understorey	8	4.5	3	1.55	1.5			1.5			small		orange to reddish	orange	conspicuous
Arenga hastata	Arenga	hastata	Caryoteae	Coryphoideae	0	0	1	0	0	0	2	1.2	understorey	6	1			0.7			0.7			small	globose	purple-brown	"purple; brown"	cryptic
Arenga hookeriana	Arenga	hookeriana	Caryoteae	Coryphoideae	0	0	1	0	0	0	0.5	2	understorey	10	1.3	0.8	0.55	1.2			1.2			small	globose	orange-red	"orange; red"	conspicuous
Arenga listeri	Arenga	listeri	Caryoteae	Coryphoideae	0	0	1	1	0	0	20	30	canopy	14	7	5.5	1.55	1.5	1.3	1.7	1			small	globose	ripening white to pink to red	"white; pink; red"	conspicuous
Arenga longicarpa	Arenga	longicarpa	Caryoteae	Coryphoideae	0	0	1	0	0	0	3	7	understorey		2.5			1.8			1			small	globose	purple	purple	cryptic
Arenga longipes	Arenga	longipes	Caryoteae	Coryphoideae	0	1	0	0	0	0	0.25	5	understorey	5											elongate			
Arenga micrantha	Arenga	micrantha	Caryoteae	Coryphoideae	0	0	1	1	0	0	2	15	understorey		3	2										"ripening yellow to red; red; bright red"	"yellow; red"	conspicuous
Arenga microcarpa	Arenga	microcarpa	Caryoteae	Coryphoideae	0	0	1	0	0	0	8	15	canopy	18	4	2.7	1.35	1.44			1.65	1.5	1.8	small	ovoid	"ripening white to red; red; bright red"	"white; red"	conspicuous
Arenga mindorensis	Arenga	mindorensis	Caryoteae	Coryphoideae	0	1	0	0	0	0	0.3	3	understorey	4											globose			
Arenga obtusifolia	Arenga	obtusifolia	Caryoteae	Coryphoideae	0	0	1	0	0	0	20	30	canopy	15	11	10		6			4			large		"yellowish green; blackish; yellowish"	green	cryptic
Arenga pinnata	Arenga	pinnata	Caryoteae	Coryphoideae	0	0	1	1	0	0	20	60	canopy	30	12	9	2.75	7			6			large	globose	"greenish; yellowish or orangish"	"green; yellow; orange"	conspicuous
Arenga plicata	Arenga	plicata	Caryoteae	Coryphoideae	0	0	1	0	0	0	1.5	3	understorey												ovoid			
Arenga porphyrocarpa	Arenga	porphyrocarpa	Caryoteae	Coryphoideae	0	0	1	0	0	0	2.4		understorey					1.5						small	elongate	"reddish-purple to orange; shiny"	"purple; orange"	conspicuous
Arenga retroflorescens	Arenga	retroflorescens	Caryoteae	Coryphoideae	0	1	0	0	0	0	0.8	3	understorey	6				2.45	2.1	2.8	1.935	1.73	2.14	small		red to brown	"red; brown"	conspicuous
Arenga ryukyuensis	Arenga	ryukyuensis	Caryoteae	Coryphoideae	0	0	1	0	0	0	2	20	understorey		3	2		1.8			1.8			small		orange to reddish	orange	conspicuous
Arenga talamauensis	Arenga	talamauensis	Caryoteae	Coryphoideae	0	0	1	0	0	0	2		understorey		12										ovoid			
Arenga tremula	Arenga	tremula	Caryoteae	Coryphoideae	0	0	1	0	0	0	4	12	understorey	6	10	8	2.1	1.3			1.1			small	globose	deep red	red	conspicuous
Arenga undulatifolia	Arenga	undulatifolia	Caryoteae	Coryphoideae	0	0	1	0	0	0	10	30	canopy	10	7	5	2.1	5			4.5			large		"ovoid grayish green color; young fruits green suffused with magenta; dark green"	green	cryptic
Arenga westerhoutii	Arenga	westerhoutii	Caryoteae	Coryphoideae	0	0	1	1	0	0	20	60	canopy	15	8	7		7			6	5	7	large	ovoid	"greenish black; blackish"	black	cryptic
Arenga wightii	Arenga	wightii	Caryoteae	Coryphoideae	0	0	1	0	0	0	7	30	canopy	6	10			2.5			3			small		greenish black	black	cryptic
Asterogyne guianensis	Asterogyne	guianensis	Geonomateae	Arecoideae	0	0	1	1	0	0	3	5	understorey	18	1.2	0.9	0.65	2.5			1.5			small	globose	red	red	conspicuous
Asterogyne martiana	Asterogyne	martiana	Geonomateae	Arecoideae	0	0	1	1	0	0	2	5	understorey	18	1	0.6	0.45	1	0.7	1.1	1			small	globose	reddish becomming black at maturity	black	cryptic
Asterogyne ramosa	Asterogyne	ramosa	Geonomateae	Arecoideae	0	0	1	1	0	0	3	8	understorey		1	1									globose			
Asterogyne spicata	Asterogyne	spicata	Geonomateae	Arecoideae	0	0	1	1	0	0	8	5	canopy	25	1.35	1	0.4								globose	dark red	red	conspicuous
Asterogyne yaracuyense	Asterogyne	yaracuyense	Geonomateae	Arecoideae	0	0	1	0	0	0	8	8	canopy	31	1.2	1.2									ovoid			
Astrocaryum acaule	Astrocaryum	acaule	Cocoseae	Arecoideae	0	1	0	2	1	1	1	30	understorey	9	7	4	2.75	4	3.5	4.5	2.6	2.4	2.8	large		yellow	yellow	conspicuous
Astrocaryum aculeatissimum	Astrocaryum	aculeatissimum	Cocoseae	Arecoideae	0	0	1	0	1	1	8	15	canopy	20				5.5	5	6	3.5	3	4	large		light to dark brown	brown	cryptic
Astrocaryum aculeatum	Astrocaryum	aculeatum	Cocoseae	Arecoideae	0	0	1	1	1	1	20	25	canopy	15	8.4	6.4	2.1	5.5	4.5	6.5	4	3.5	4.5	large	globose	"orange; greenish to yellowish"	orange	conspicuous
Astrocaryum alatum	Astrocaryum	alatum	Cocoseae	Arecoideae	0	0	1	1	1	1	7	18	canopy	30	3	1.78	1.27	2.6			1.8			small	ovoid	"fruits spiny; green-brownish"	green	cryptic
Astrocaryum campestre	Astrocaryum	campestre	Cocoseae	Arecoideae	0	1	0	2	1	1	0		understorey	6	1.5	1.4	0.12	3.25	3	3.5	2.25	2	2.5	small	ovoid	yellowish-green	green	cryptic
Astrocaryum carnosum	Astrocaryum	carnosum	Cocoseae	Arecoideae	0	0	1	0	1	1	4	18	understorey	8	3.5		1.45	1.4			1			small	globose			
Astrocaryum chambira	Astrocaryum	chambira	Cocoseae	Arecoideae	0	0	1	1	1	1	30	40	canopy	16	9	5.5	3.25	7	6	8	4.75	4.5	5	large		yellow to orange at maturity	"yellow; orange"	conspicuous
Astrocaryum chonta	Astrocaryum	chonta	Cocoseae	Arecoideae	0	0	1	1	0	1	7	25	canopy	12	6.26	4.5		5.4			1.5			large				
Astrocaryum ciliatum	Astrocaryum	ciliatum	Cocoseae	Arecoideae	0	2	2	1		1	0		understorey	12	4.8	4.8		4.9	4.6	5.2	2.8	2.6	3	large				
Astrocaryum confertum	Astrocaryum	confertum	Cocoseae	Arecoideae	0	0	1	1	1	1	17	25	canopy	12	4	4		3			3			small	ovoid	"spiny; brown"	brown	cryptic
Astrocaryum echinatum	Astrocaryum	echinatum	Cocoseae	Arecoideae	0	0	1	1		1								4.2			3.2			large				
Astrocaryum faranae	Astrocaryum	faranae	Cocoseae	Arecoideae	0	0	1	0		1	10	20	canopy	12	4	4		6.1	4.2	8	1.8	1.2	2.4	large	ovoid	"spiny; orange"	orange	conspicuous
Astrocaryum farinosum	Astrocaryum	farinosum	Cocoseae	Arecoideae	0	2	2	1		1	4	18	understorey	12	5.2	5.2		6.2	4.8	7.6	3.7	2.6	4.7	large	ovoid	hairy brown	brown	cryptic
Astrocaryum ferrugineum	Astrocaryum	ferrugineum	Cocoseae	Arecoideae	0	0	1	1		1	8	25	canopy	16	5.1	5.1		5.3	4.6	6	5.25	2.7	3.8	large	elongate			
